maquina,grupos,process,estado
\SPRMY01,DRIVERS.BURO,$ZBN18,UP
\SPRMY01,DRIVERS.BURO,$ZBN19,UP
\SPRMY01,DRIVERS.BURO,$ZBN40,UP
\SPRMY01,DRIVERS.BURO,$ZBN41,UP
\SPRMY01,DRIVERS.BURO,$ZBN42,UP
\SPRMY01,DRIVERS.BURO,$ZBN43,UP
\SPRMY01,DRIVERS.BURO,$ZBN44,UP
\SPRMY01,DRIVERS.BURO,$ZBN45,UP
\SPRMY01,DRIVERS.BURO,$ZBN46,UP
\SPRMY01,DRIVERS.BURO,$ZBN47,UP
\SPRMY01,DRIVERS.BURO,$ZBN48,UP
\SPRMY01,DRIVERS.BURO,$ZBN49,UP
\SPRMY01,DRIVERS.BURO,$ZBN50,UP
\SPRMY01,DRIVERS.BURO,$ZBN51,UP
\SPRMY01,DRIVERS.BURO,$ZBN52,UP
\SPRMY01,DRIVERS.BURO,$ZBN53,UP
\SPRMY01,DRIVERS.BURO,$ZBN54,UP
\SPRMY01,DRIVERS.BURO,$ZBN55,UP
\SPRMY01,DRIVERS.BURO,$ZBN56,UP
\SPRMY01,DRIVERS.BURO,$ZBN57,UP
\SPRMY01,DRIVERS.BURO,$ZBN58,UP
\SPRMY01,DRIVERS.BURO,$ZBN59,UP
\SPRMY01,DRIVERS.BURO,$ZBN60,UP
\SPRMY01,DRIVERS.BURO,$ZBN61,UP
\SPRMY01,DRIVERS.BURO,$ZBN62,UP
\SPRMY01,DRIVERS.BURO,$ZBN63,UP
\SPRMY01,DRIVERS.BURO,$ZBN64,UP
\SPRMY01,DRIVERS.BURO,$ZBN65,UP
\SPRMY01,DRIVERS.BURO,$ZBN66,UP
\SPRMY01,DRIVERS.BURO,$ZBN67,UP
\SPRMY01,DRIVERS.BURO,$ZBN68,UP
\SPRMY01,DRIVERS.BURO,$ZBN69,UP
\SPRMY01,SO,$ZCDB,UP
\SPRMY01,SO,$ZCNF,UP
\SPRMY01,SO,$ZDMP,UP
\SPRMY01,SO,$ZEXP,UP
\SPRMY01,SO,$ZHOME,UP
\SPRMY01,EMS,$ZLOG,UP
\SPRMY01,OSS,$ZMSGQ,UP
\SPRMY01,SO,$ZNET,UP
\SPRMY01,SO,$ZNUP,UP
\SPRMY01,EMS,$ZOPR,UP
\SPRMY01,SO,$ZPM,UP
\SPRMY01,OSS,$ZPMON,UP
\SPRMY01,OSS,$ZPNH,UP
\SPRMY01,OSS,$ZPNL,UP
\SPRMY01,OSS,$ZPNO,UP
\SPRMY01,OSS,$ZPNS,UP
\SPRMY01,RSC,$ZRSOP,UP
\SPRMY01,SAFEGUARD,$ZSMP,UP
\SPRMY01,EMS,$ZSPE,UP
\SPRMY01,SSH.STN,$ZSSH1,UP
\SPRMY01,SSH.STN,$ZSSH2,UP
\SPRMY01,SSH.STN,$ZSSH3,UP
\SPRMY01,SSH.STN,$ZSTN1,UP
\SPRMY01,SSH.STN,$ZSTN2,UP
\SPRMY01,SO,$ZSVR,UP
\SPRMY01,TCPIP,$ZTC0,UP
\SPRMY01,TCPIP,$ZTC1,UP
\SPRMY01,TCPIP,$ZTC2,UP
\SPRMY01,TCPIP,$ZTC3,UP
\SPRMY01,TCPIP,$ZTC4,UP
\SPRMY01,TCPIP,$ZTC6,UP
\SPRMY01,TCPIP,$ZTC7,UP
\SPRMY01,TCPIP,$ZTC8,UP
\SPRMY01,TCPIP,$ZTCP0,UP
\SPRMY01,TCPIP,$ZTCP1,UP
\SPRMY01,TCPIP,$ZTCS,UP
\SPRMY01,TCPIP,$ZTCZ,UP
\SPRMY01,NDM,$ZTRAN,UP
\SPRMY01,SO,$ZZKRN,UP
\SPRMY01,SO,$ZZLAN,UP
\SPRMY01,SO,$ZZSTO,UP
\SPRMY01,SO,$ZZWAN,UP
\SPRMY01,BCATRADE.HORARIO,/opt/s619/061/tuxedo80/bin/EFE_EliDepRet,UP
\SPRMY01,BCATRADE.HORARIO,/opt/s619/061/tuxedo80/bin/OPE_ConPrevalCV,UP
\SPRMY01,BCATRADE.HORARIO,/opt/s619/061/tuxedo80/bin/OPE_EliVtaFdoN1,UP
